# V_set	I	V	t
# "V_appl"	"I_meas"	"V_appl"	"Elapsed time"
# 201
-0.32	-0.00032	-0.32	1654.789749907
-0.31	-0.00031	-0.31	1654.890541246
-0.3	-0.0003	-0.3	1654.993240257
-0.29	-0.00029	-0.29	1655.097895027
-0.28	-0.00028	-0.28	1655.200958986
-0.27	-0.00027	-0.27	1655.306336019
-0.26	-0.00026	-0.26	1655.409581682
-0.25	-0.00025	-0.25	1655.513495389
-0.24	-0.00024	-0.24	1655.617589475
-0.23	-0.00023	-0.23	1655.722463533
-0.22	-0.00022	-0.22	1655.824437967
-0.21	-0.00021	-0.21	1655.926033671
-0.2	-0.0002	-0.2	1656.026883784
-0.19	-0.00019	-0.19	1656.130381862
-0.18	-0.00018	-0.18	1656.235308229
-0.17	-0.00017	-0.17	1656.339823772
-0.16	-0.00016	-0.16	1656.444094148
-0.15	-0.00015	-0.15	1656.545269998
-0.14	-0.00014	-0.14	1656.649759397
-0.13	-0.00013	-0.13	1656.751116779
-0.12	-0.00012	-0.12	1656.85621382
-0.11	-0.00011	-0.11	1656.960887802
-0.1	-0.0001	-0.1	1657.064103336
-0.09	-9e-05	-0.09	1657.165218719
-0.08	-8e-05	-0.08	1657.269904984
-0.07	-7e-05	-0.07	1657.374863086
-0.0599999999999999	-5.99999999999999e-05	-0.0599999999999999	1657.478148607
-0.0499999999999999	-4.99999999999999e-05	-0.0499999999999999	1657.583060548
-0.04	-4e-05	-0.04	1657.685949596
-0.03	-3e-05	-0.03	1657.786480237
-0.02	-2e-05	-0.02	1657.893147305
-0.01	-1e-05	-0.01	1657.997683876
0	0	0	1658.100375221
0.01	1e-05	0.01	1658.205704208
0.02	2e-05	0.02	1658.30638959
0.03	3e-05	0.03	1658.411200237
0.04	4e-05	0.04	1658.513245866
0.05	5e-05	0.05	1658.618505994
0.0600000000000001	6.00000000000001e-05	0.0600000000000001	1658.722897934
0.0700000000000001	7.00000000000001e-05	0.0700000000000001	1658.824845552
0.0800000000000001	8.00000000000001e-05	0.0800000000000001	1658.929315671
0.0900000000000001	9.00000000000001e-05	0.0900000000000001	1659.034359373
0.1	0.0001	0.1	1659.139626995
0.11	0.00011	0.11	1659.244062281
0.12	0.00012	0.12	1659.347615508
0.13	0.00013	0.13	1659.451859799
0.14	0.00014	0.14	1659.556810696
0.15	0.00015	0.15	1659.659674556
0.16	0.00016	0.16	1659.764869615
0.17	0.00017	0.17	1659.868146514
0.18	0.00018	0.18	1659.972990761
0.19	0.00019	0.19	1660.076689622
0.2	0.0002	0.2	1660.177184333
0.21	0.00021	0.21	1660.281727842
0.22	0.00022	0.22	1660.385014243
0.23	0.00023	0.23	1660.489585896
0.24	0.00024	0.24	1660.592973039
0.25	0.00025	0.25	1660.697737712
0.26	0.00026	0.26	1660.802288879
0.27	0.00027	0.27	1660.907233972
0.28	0.00028	0.28	1661.012492357
0.29	0.00029	0.29	1661.117579432
0.3	0.0003	0.3	1661.222560841
0.31	0.00031	0.31	1661.327015884
0.32	0.00032	0.32	1661.429125808
0.33	0.00033	0.33	1661.534418624
0.34	0.00034	0.34	1661.639636308
0.35	0.00035	0.35	1661.743020785
0.36	0.00036	0.36	1661.847000934
0.37	0.00037	0.37	1661.948946397
0.38	0.00038	0.38	1662.052337121
0.39	0.00039	0.39	1662.156312863
0.4	0.0004	0.4	1662.258745445
0.41	0.00041	0.41	1662.362656032
0.42	0.00042	0.42	1662.46756536
0.43	0.00043	0.43	1662.572527765
0.44	0.00044	0.44	1662.677623935
0.45	0.00045	0.45	1662.778299912
0.46	0.00046	0.46	1662.880549471
0.47	0.00047	0.47	1662.984392286
0.48	0.00048	0.48	1663.089373616
0.49	0.00049	0.49	1663.193634242
0.5	0.0005	0.5	1663.296534913
0.51	0.00051	0.51	1663.401443663
0.52	0.00052	0.52	1663.506848316
0.53	0.00053	0.53	1663.609792774
0.54	0.00054	0.54	1663.712450774
0.55	0.00055	0.55	1663.817543996
0.56	0.00056	0.56	1663.922385826
0.57	0.00057	0.57	1664.026446234
0.58	0.00058	0.58	1664.1285627
0.59	0.00059	0.59	1664.22916435
0.6	0.0006	0.6	1664.334351563
0.61	0.00061	0.61	1664.439601437
0.62	0.00062	0.62	1664.544374941
0.63	0.00063	0.63	1664.645923058
0.64	0.00064	0.64	1664.750962891
0.65	0.00065	0.65	1664.856272108
0.66	0.00066	0.66	1664.960506314
0.67	0.00067	0.67	1665.064880653
0.68	0.00068	0.68	1665.167687385
0.69	0.00069	0.69	1665.272951398
0.7	0.0007	0.7	1665.376533192
0.71	0.00071	0.71	1665.477276178
0.72	0.00072	0.72	1665.582543154
0.73	0.00073	0.73	1665.685853571
0.74	0.00074	0.74	1665.791361946
0.75	0.00075	0.75	1665.894665985
0.76	0.00076	0.76	1665.995411778
0.77	0.00077	0.77	1666.098315676
0.78	0.00078	0.78	1666.199404444
0.79	0.00079	0.79	1666.300121304
0.8	0.0008	0.8	1666.401440941
0.81	0.00081	0.81	1666.506295188
0.82	0.00082	0.82	1666.610221113
0.83	0.00083	0.83	1666.713960237
0.84	0.00084	0.84	1666.819282841
0.85	0.00085	0.85	1666.921172983
0.86	0.00086	0.86	1667.025138522
0.87	0.00087	0.87	1667.127028286
0.88	0.00088	0.88	1667.232404584
0.89	0.00089	0.89	1667.334405079
0.9	0.0009	0.9	1667.439548558
0.91	0.00091	0.91	1667.541799458
0.92	0.00092	0.92	1667.642629745
0.93	0.00093	0.93	1667.744406753
0.94	0.00094	0.94	1667.848263727
0.95	0.00095	0.95	1667.952270535
0.96	0.00096	0.96	1668.057528762
0.97	0.00097	0.97	1668.161907988
0.98	0.00098	0.98	1668.266970104
0.99	0.00099	0.99	1668.367684052
1	0.001	1	1668.472926372
